threshold,window_d,min_count,alerts,true_pos,recall_pct,precision_pct,pct_book_flagged
5000,7,3,26625,681,35.23,2.558,9.1
5000,7,4,24099,505,26.13,2.096,8.23
5000,7,5,23256,455,23.54,1.956,7.94
5000,7,6,22844,447,23.12,1.957,7.8
5000,7,8,22264,441,22.81,1.981,7.61
5000,14,3,28473,825,42.68,2.897,9.73
5000,14,4,25595,620,32.07,2.422,8.74
5000,14,5,23902,497,25.71,2.079,8.17
5000,14,6,23141,454,23.49,1.962,7.91
5000,14,8,22388,444,22.97,1.983,7.65
5000,30,3,30221,948,49.04,3.137,10.32
5000,30,4,27881,787,40.71,2.823,9.52
5000,30,5,25856,637,32.95,2.464,8.83
5000,30,6,24324,543,28.09,2.232,8.31
5000,30,8,22781,467,24.16,2.05,7.78
7500,7,3,45808,677,35.02,1.478,15.65
7500,7,4,43630,535,27.68,1.226,14.91
7500,7,5,42703,500,25.87,1.171,14.59
7500,7,6,42126,493,25.5,1.17,14.39
7500,7,8,41142,482,24.94,1.172,14.06
7500,14,3,47265,804,41.59,1.701,16.15
7500,14,4,44683,621,32.13,1.39,15.27
7500,14,5,43159,524,27.11,1.214,14.74
7500,14,6,42359,500,25.87,1.18,14.47
7500,14,8,41223,482,24.94,1.169,14.08
7500,30,3,48701,947,48.99,1.945,16.64
7500,30,4,46472,771,39.89,1.659,15.88
7500,30,5,44554,638,33.01,1.432,15.22
7500,30,6,43192,561,29.02,1.299,14.76
7500,30,8,41516,493,25.5,1.187,14.18
10000,7,3,45850,608,31.45,1.326,15.66
10000,7,4,43939,493,25.5,1.122,15.01
10000,7,5,43086,474,24.52,1.1,14.72
10000,7,6,42512,468,24.21,1.101,14.52
10000,7,8,41567,463,23.95,1.114,14.2
10000,14,3,47237,731,37.82,1.548,16.14
10000,14,4,44824,557,28.82,1.243,15.31
10000,14,5,43454,491,25.4,1.13,14.85
10000,14,6,42702,473,24.47,1.108,14.59
10000,14,8,41638,465,24.06,1.117,14.22
10000,30,3,48654,874,45.21,1.796,16.62
10000,30,4,46454,697,36.06,1.5,15.87
10000,30,5,44645,578,29.9,1.295,15.25
10000,30,6,43353,519,26.85,1.197,14.81
10000,30,8,41896,473,24.47,1.129,14.31
12500,7,3,40945,558,28.87,1.363,13.99
12500,7,4,39234,463,23.95,1.18,13.4
12500,7,5,38472,440,22.76,1.144,13.14
12500,7,6,37962,437,22.61,1.151,12.97
12500,7,8,37086,431,22.3,1.162,12.67
12500,14,3,42240,680,35.18,1.61,14.43
12500,14,4,39975,517,26.75,1.293,13.66
12500,14,5,38810,457,23.64,1.178,13.26
12500,14,6,38118,440,22.76,1.154,13.02
12500,14,8,37139,431,22.3,1.161,12.69
12500,30,3,43820,809,41.85,1.846,14.97
12500,30,4,41501,646,33.42,1.557,14.18
12500,30,5,39861,542,28.04,1.36,13.62
12500,30,6,38714,476,24.62,1.23,13.23
12500,30,8,37352,435,22.5,1.165,12.76
15000,7,3,34583,479,24.78,1.385,11.81
15000,7,4,32926,392,20.28,1.191,11.25
15000,7,5,32301,378,19.56,1.17,11.03
15000,7,6,31860,375,19.4,1.177,10.88
15000,7,8,31113,366,18.93,1.176,10.63
15000,14,3,35840,583,30.16,1.627,12.24
15000,14,4,33614,435,22.5,1.294,11.48
15000,14,5,32565,385,19.92,1.182,11.13
15000,14,6,31962,375,19.4,1.173,10.92
15000,14,8,31150,366,18.93,1.175,10.64
15000,30,3,37410,707,36.58,1.89,12.78
15000,30,4,35113,551,28.5,1.569,12.0
15000,30,5,33539,451,23.33,1.345,11.46
15000,30,6,32478,397,20.54,1.222,11.1
15000,30,8,31320,367,18.99,1.172,10.7
20000,7,3,22335,348,18.0,1.558,7.63
20000,7,4,21134,288,14.9,1.363,7.22
20000,7,5,20714,283,14.64,1.366,7.08
20000,7,6,20438,281,14.54,1.375,6.98
20000,7,8,19925,277,14.33,1.39,6.81
20000,14,3,23477,419,21.68,1.785,8.02
20000,14,4,21643,319,16.5,1.474,7.39
20000,14,5,20871,289,14.95,1.385,7.13
20000,14,6,20495,281,14.54,1.371,7.0
20000,14,8,19948,277,14.33,1.389,6.81
20000,30,3,25182,523,27.06,2.077,8.6
20000,30,4,22816,392,20.28,1.718,7.79
20000,30,5,21538,323,16.71,1.5,7.36
20000,30,6,20824,293,15.16,1.407,7.11
20000,30,8,20027,277,14.33,1.383,6.84
