window_d,min_distinct_recv,alerts,true_pos,recall_pct,precision_pct,base_rate_pct,lift_vs_random
1,5,16175,109,44.67,0.674,0.083,8.1
1,8,12859,65,26.64,0.505,0.083,6.1
1,12,9707,50,20.49,0.515,0.083,6.2
1,20,2209,9,3.69,0.407,0.083,4.9
1,30,0,0,0.0,0.0,0.083,0.0
3,5,18285,152,62.3,0.831,0.083,10.0
3,8,15346,97,39.75,0.632,0.083,7.6
3,12,11014,51,20.9,0.463,0.083,5.6
3,20,3756,10,4.1,0.266,0.083,3.2
3,30,1,0,0.0,0.0,0.083,0.0
7,5,18765,172,70.49,0.917,0.083,11.0
7,8,17477,136,55.74,0.778,0.083,9.3
7,12,13901,77,31.56,0.554,0.083,6.6
7,20,6022,13,5.33,0.216,0.083,2.6
7,30,189,0,0.0,0.0,0.083,0.0
14,5,18837,182,74.59,0.966,0.083,11.6
14,8,18333,157,64.34,0.856,0.083,10.3
14,12,16006,103,42.21,0.644,0.083,7.7
14,20,8876,20,8.2,0.225,0.083,2.7
14,30,1692,0,0.0,0.0,0.083,0.0
