amt_cap,window_d,min_count,alerts,true_pos,recall_pct,precision_pct,base_rate_pct,lift_vs_random
5000,30,10,32073,46,73.02,0.143,0.022,6.7
5000,30,15,17282,34,53.97,0.197,0.022,9.1
5000,30,20,15977,29,46.03,0.182,0.022,8.4
5000,30,30,11321,17,26.98,0.15,0.022,7.0
5000,60,10,32446,54,85.71,0.166,0.022,7.7
5000,60,15,19566,40,63.49,0.204,0.022,9.5
5000,60,20,17476,32,50.79,0.183,0.022,8.5
5000,60,30,15712,25,39.68,0.159,0.022,7.4
5000,90,10,32973,57,90.48,0.173,0.022,8.0
5000,90,15,19911,46,73.02,0.231,0.022,10.7
5000,90,20,19142,33,52.38,0.172,0.022,8.0
5000,90,30,16702,28,44.44,0.168,0.022,7.8
7000,30,10,73863,50,79.37,0.068,0.022,3.1
7000,30,15,18545,37,58.73,0.2,0.022,9.3
7000,30,20,17901,33,52.38,0.184,0.022,8.6
7000,30,30,15886,25,39.68,0.157,0.022,7.3
7000,60,10,74168,56,88.89,0.076,0.022,3.5
7000,60,15,20811,42,66.67,0.202,0.022,9.4
7000,60,20,18763,36,57.14,0.192,0.022,8.9
7000,60,30,17860,32,50.79,0.179,0.022,8.3
7000,90,10,74776,59,93.65,0.079,0.022,3.7
7000,90,15,21057,49,77.78,0.233,0.022,10.8
7000,90,20,20572,38,60.32,0.185,0.022,8.6
7000,90,30,18336,33,52.38,0.18,0.022,8.4
