feature,mean_abs_shap,share_pct,cumulative_pct
r_txn_7d,1.3072242359093709,13.05,13.05
log_amount,1.1566547296779603,11.54,24.59
s_txn_30d,1.1260770697945572,11.24,35.83
r_senders_30d,1.047692019449947,10.46,46.29
s_recv_30d,0.9779252022706062,9.76,56.05
s_txn_1d,0.9327411222605536,9.31,65.36
s_small_30d,0.564702179261265,5.64,71.0
r_senders_7d,0.264537342928985,2.64,73.64
s_account_age_days,0.24859865418865149,2.48,76.12
r_amt_sum_7d,0.2323317278000577,2.32,78.44
pay_type,0.23021107224156537,2.3,80.74
s_passthru_ratio_7d,0.20095743720871523,2.01,82.75
s_recv_1d,0.1974128031505116,1.97,84.72
s_amt_sum_7d,0.19484261524864152,1.94,86.66
amount,0.18318291035140036,1.83,88.49
s_xborder_ratio_30d,0.17283268946758995,1.72,90.21
s_amt_avg_7d,0.14762073163418205,1.47,91.68
s_amt_max_30d,0.14244226098542329,1.42,93.1
s_recv_7d,0.12766804624415953,1.27,94.37
hour_of_day,0.12197922320525177,1.22,95.59
s_passthru_ratio_2d,0.10256946826045145,1.02,96.61
s_amt_std_7d,0.08144001351761063,0.81,97.42
ccy_mismatch,0.07658300155650603,0.76,98.18
s_inflow_2d,0.05475844767221694,0.55,98.73
s_txn_7d,0.05448575997723432,0.54,99.27
s_amt_zscore_7d,0.027901092154975705,0.28,99.55
day_of_week,0.018215848673049314,0.18,99.73
s_band5k_7d,0.014984970833462334,0.15,99.88
s_band10k_7d,0.006485921367729705,0.06,99.94
is_xborder,0.004584589346927143,0.05,99.99
is_round_100,3.370921334519976e-05,0.0,99.99
is_round_1000,0.0,0.0,99.99
