rank,txn_id,risk_score,primary_driver,driver_contribution,amount,outcome,actual_typology
1,7656473,0.9999,sender fan-out (30d),4.594,115.32,True positive,Cash_Withdrawal
2,7610171,0.9999,sender fan-out (30d),4.573,122.4,True positive,Cash_Withdrawal
3,7648264,0.9999,sender fan-out (30d),4.634,102.39,True positive,Cash_Withdrawal
4,7609109,0.9999,sender fan-out (30d),4.531,200.16,True positive,Cash_Withdrawal
5,8385589,0.9999,sender fan-out (30d),5.017,3507884.1,True positive,Over-Invoicing
6,9264613,0.9999,sender fan-out (30d),4.909,3194040.33,True positive,Over-Invoicing
7,7286760,0.9999,sender fan-out (30d),5.325,10267422.68,True positive,Over-Invoicing
8,7732126,0.9999,sender fan-out (30d),4.318,117.35,True positive,Cash_Withdrawal
9,7578508,0.9999,sender fan-out (30d),4.553,177.58,True positive,Cash_Withdrawal
10,8143184,0.9999,sender fan-out (30d),4.977,340.39,True positive,Cash_Withdrawal
11,9208422,0.9999,sender fan-out (30d),4.809,6213230.54,True positive,Over-Invoicing
12,7396327,0.9999,sender fan-out (30d),4.828,17921.34,True positive,Stacked Bipartite
13,9492556,0.9999,sender fan-out (30d),3.886,338.25,True positive,Cash_Withdrawal
14,7676694,0.9999,sender fan-out (30d),4.489,215.88,True positive,Cash_Withdrawal
15,9440179,0.9999,sender fan-out (30d),3.92,207.46,True positive,Cash_Withdrawal
16,8757668,0.9998,sender fan-out (30d),4.157,36878.08,True positive,Cycle
17,7341422,0.9998,sender fan-out (30d),4.766,39702.09,True positive,Cycle
18,7121335,0.9998,sender fan-out (30d),4.195,5881588.23,True positive,Over-Invoicing
19,7716926,0.9998,sender fan-out (30d),4.446,108.68,True positive,Cash_Withdrawal
20,7286216,0.9998,beneficiary distinct senders (30d),4.429,1568.12,True positive,Smurfing
21,9030254,0.9998,beneficiary distinct senders (30d),3.814,3000585.61,True positive,Over-Invoicing
22,7593617,0.9998,sender fan-out (30d),3.829,18.43,True positive,Cash_Withdrawal
23,9415087,0.9998,sender fan-out (30d),3.926,307.81,True positive,Cash_Withdrawal
24,7081396,0.9998,sender fan-out (30d),5.181,4720982.29,True positive,Over-Invoicing
25,8084147,0.9998,sender fan-out (30d),4.594,111.87,True positive,Cash_Withdrawal
26,7242200,0.9998,beneficiary distinct senders (30d),4.635,2126.53,True positive,Smurfing
27,8387061,0.9998,sender fan-out (30d),4.771,8317.08,True positive,Bipartite
28,7606384,0.9998,beneficiary distinct senders (30d),4.496,34180.8,True positive,Deposit-Send
29,8004813,0.9998,sender fan-out (30d),5.017,341.85,True positive,Cash_Withdrawal
30,8492196,0.9998,sender fan-out (30d),5.303,4500.12,True positive,Structuring
31,7578595,0.9998,sender fan-out (30d),3.877,141.43,True positive,Cash_Withdrawal
32,8559872,0.9998,beneficiary distinct senders (30d),3.877,4669.91,True positive,Deposit-Send
33,7377870,0.9998,beneficiary distinct senders (30d),4.438,3766.51,True positive,Smurfing
34,8534655,0.9998,sender fan-out (30d),4.744,205782.44,True positive,Single_large
35,7343980,0.9998,beneficiary distinct senders (30d),4.603,10281.72,True positive,Deposit-Send
36,7573641,0.9998,sender fan-out (30d),4.605,9109.25,True positive,Gather-Scatter
37,7550533,0.9998,sender fan-out (30d),3.875,55.78,True positive,Cash_Withdrawal
38,9380398,0.9998,sender fan-out (30d),3.951,75.65,True positive,Cash_Withdrawal
39,8878380,0.9998,sender fan-out (30d),4.255,117.61,True positive,Cash_Withdrawal
40,9426791,0.9998,sender fan-out (30d),4.862,12768.29,True positive,Stacked Bipartite
41,7266197,0.9998,beneficiary distinct senders (30d),4.43,2938.53,True positive,Smurfing
42,9123788,0.9998,beneficiary distinct senders (30d),4.444,4772.44,True positive,Smurfing
43,7929982,0.9997,sender fan-out (30d),4.52,4080.56,True positive,Stacked Bipartite
44,9273301,0.9997,sender fan-out (30d),4.59,68246.52,True positive,Single_large
45,9463711,0.9997,sender fan-out (30d),4.936,7102.09,True positive,Structuring
46,7811411,0.9997,sender fan-out (30d),5.041,4411.09,True positive,Layered_Fan_In
47,9214473,0.9997,sender fan-out (30d),4.968,251.79,True positive,Cash_Withdrawal
48,8673504,0.9997,sender fan-out (30d),5.262,3247.76,True positive,Structuring
49,8340790,0.9997,beneficiary distinct senders (30d),4.44,22491.73,True positive,Deposit-Send
50,9310840,0.9997,sender fan-out (30d),4.628,214.4,True positive,Cash_Withdrawal
51,8674113,0.9997,sender fan-out (30d),4.538,29555.13,True positive,Gather-Scatter
52,8190112,0.9997,sender fan-out (30d),4.049,4358.73,True positive,Structuring
53,8094785,0.9997,sender fan-out (30d),5.179,31973.22,True positive,Layered_Fan_In
54,8354702,0.9997,sender fan-out (30d),4.532,14160.67,True positive,Deposit-Send
55,9373768,0.9997,sender fan-out (30d),4.043,136.29,True positive,Cash_Withdrawal
56,7746029,0.9997,sender fan-out (30d),4.507,6731.2,True positive,Structuring
57,9344378,0.9997,sender fan-out (30d),4.468,6976.07,True positive,Stacked Bipartite
58,9133749,0.9997,sender fan-out (30d),4.661,6685.15,True positive,Fan_Out
59,7548546,0.9997,sender fan-out (30d),3.936,171.51,True positive,Cash_Withdrawal
60,7744433,0.9997,sender fan-out (30d),4.056,18928.38,True positive,Deposit-Send
61,9298363,0.9997,sender fan-out (30d),4.616,114.12,True positive,Cash_Withdrawal
62,9168535,0.9997,sender fan-out (30d),5.362,7491.39,True positive,Stacked Bipartite
63,7203930,0.9997,sender fan-out (30d),4.029,14364.66,True positive,Fan_Out
64,8414149,0.9997,sender fan-out (30d),4.685,5657.1,True positive,Structuring
65,7463522,0.9997,beneficiary distinct senders (30d),4.774,6513.88,True positive,Deposit-Send
66,9449529,0.9997,beneficiary distinct senders (30d),4.418,1098.65,True positive,Smurfing
67,8429793,0.9997,sender fan-out (30d),4.084,9196.83,True positive,Structuring
68,9223860,0.9997,sender fan-out (30d),4.792,3468.0,True positive,Structuring
69,8100801,0.9997,sender fan-out (30d),4.404,7270.3,True positive,Structuring
70,7196214,0.9997,sender fan-out (30d),4.644,5488.36,True positive,Structuring
71,8270774,0.9997,sender fan-out (30d),5.01,4575.55,True positive,Deposit-Send
72,8242711,0.9997,sender fan-out (30d),4.714,5194.73,True positive,Structuring
73,7439278,0.9997,beneficiary distinct senders (30d),4.433,2841.41,True positive,Smurfing
74,8311191,0.9997,beneficiary distinct senders (30d),4.571,1666.37,True positive,Smurfing
75,9170173,0.9997,sender fan-out (30d),4.529,6063.99,True positive,Stacked Bipartite
76,9434526,0.9997,sender fan-out (30d),5.096,10708.08,True positive,Stacked Bipartite
77,7281897,0.9997,sender fan-out (30d),4.168,53898.15,True positive,Cycle
78,8322393,0.9997,sender fan-out (30d),4.318,5237.87,True positive,Structuring
79,8442805,0.9997,sender fan-out (30d),4.88,42083.73,True positive,Cycle
80,7264594,0.9997,sender fan-out (30d),4.474,5787.23,True positive,Deposit-Send
81,9350327,0.9997,sender fan-out (30d),4.306,6808.05,True positive,Stacked Bipartite
82,9347407,0.9997,sender fan-out (30d),4.082,88.69,True positive,Cash_Withdrawal
83,7415715,0.9997,beneficiary distinct senders (30d),4.472,1967.44,True positive,Smurfing
84,7671879,0.9997,sender fan-out (30d),4.544,7042.65,True positive,Structuring
85,8612635,0.9997,sender fan-out (30d),5.192,4034.31,True positive,Structuring
86,8932389,0.9997,beneficiary distinct senders (30d),4.291,53.1,True positive,Cash_Withdrawal
87,8698060,0.9997,sender fan-out (30d),5.087,4404.81,True positive,Gather-Scatter
88,7477095,0.9996,sender fan-out (30d),4.393,8116.94,True positive,Structuring
89,7351680,0.9996,sender fan-out (30d),4.872,7867.05,True positive,Layered_Fan_Out
90,9354630,0.9996,sender fan-out (30d),4.867,8525.38,True positive,Stacked Bipartite
